Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Скирда,Василь,Юрійович,Чоловік,1962-02-19,Менеджер,селище Інкерман,"узвіз Мала, буд. 25, Сватове, 38674",000 979 07 73,kostiantynavdieienko@example.org
Петрик,Зорян,Іванович,Чоловік,1970-06-02,Кушнір,селище Новгород-Сіверський,"площа Ризька, буд. 20, Українка, 37410",023 656-12-32,adutka@example.org
Шутько,Степан,Андрійович,Чоловік,1981-11-09,Зоолог,селище Авдіївка,"провулок Лінійний, буд. 208, Сміла, 12432",+380 (27) 626-70-44,hannatkach@example.com
Гаврюшенко,Миколай,Степанович,Чоловік,1965-10-27,Палеонтолог,місто Олександрія,"проспект Госпітальєрів, буд. 14, Генічеськ, 87700",321-87-19,adam96@example.net
Базавлученко,Василь,Арсенійович,Чоловік,1942-02-11,Патологоанатом,місто Рава-Руська,"проспект Геологічна, буд. 5 кв. 27, Хирів, 76158",+380 00 470 58 80,aisaienko@example.com
Дутка,Венедикт,Арсенійович,Чоловік,1986-12-11,Пекар,село Новгород-Сіверський,"провулок Сєрогодського, буд. 9, Сквира, 97766",145 30 22,hennadii11@example.com
Бабій,Стефан,Степанович,Чоловік,1997-09-18,Льотчик,селище Кам'янка (Черкаська область),"проспект Луїджі Іоріні, буд. 41 кв. 37, Алушта, 24723",+380 89 376-31-39,bohuslav10@example.com
Карпа,Єфрем,Тимофійович,Чоловік,2008-03-02,Випробувач,хутір Апостолове,"набережна Стражеска Миколи, буд. 00 кв. 11, Дергачі, 42471",989-47-73,havryshirena@example.org
Лазаренко,Валентин,Андрійович,Чоловік,1975-02-23,Продюсер,місто Помічна,"набережна Хортицька, буд. 0, Сватове, 75631",004 327 37 01,orysia36@example.com
Вишиваний,Зорян,Васильович,Чоловік,1946-12-01,Маркетолог,село Кипуче,"шосе 1-й Академічний тупик, буд. 940, Миргород, 22916",+380 (18) 807-49-74,artiukhoksana@example.org
Базилевський,Арсен,Григорович,Чоловік,1943-02-25,Економіст,хутір Рубіжне,"узвіз Василя Данилевича, буд. 913 кв. 1, Сторожинець, 51309",+380 19 645-99-47,kisaievych@example.net
Кальченко,Стефан,Андрійович,Чоловік,1970-04-23,Науковець,хутір Карлівка,"узвіз Ференца Ліста, буд. 63 кв. 83, Берислав, 09997",002-23-04,anitarak@example.com
Макаренко,Андрій,Дмитрович,Чоловік,1958-07-20,Прокурор,місто Березне,"площа Лузанівський, буд. 6, Бердичів, 51801",+380 81 444-27-42,les56@example.com
Чуприна,Арсен,Тимофійович,Чоловік,1947-03-11,Археолог,місто Радивилів,"узвіз Героїв Крут, буд. 3 кв. 882, Хуст, 06057",+380 (80) 489-57-31,okhrimandriiovych@example.net
Бабʼюк,Веніямин,Євгенович,Чоловік,1975-08-01,Графік,хутір Жмеринка,"парк Ніщинського Композитора, буд. 978 кв. 92, Ровеньки, 62886",+380 94 420-66-52,pustovitliliia@example.com
Оробець,Володимир,Богданович,Чоловік,1957-03-27,Історик,село Шостка,"узвіз Джинестрівська, буд. 74, Білозерське, 30107",071 131 57 38,illialazarenko@example.net
Кащенко,Теодор,Петрович,Чоловік,2005-09-24,М'ясник,місто Нікополь,"набережна Ланжеронівська, буд. 28 кв. 93, Вараш, 37581",075 502-02-06,leontiiparasiuk@example.org
Павлик,Охрім,Володимирович,Чоловік,1973-04-18,Візажист,хутір Рогатин,"проспект 9-та Лінія Дачі Ковалевського, буд. 0, Хуст, 10408",+380 41 000-85-45,arsen54@example.net
Вітер,Опанас,Миколайович,Чоловік,1965-06-08,Соціолог,місто Тернопіль,"узвіз Пересипська 10-та, буд. 589 кв. 820, Добропілля, 95404",+380 (65) 720-48-80,wandreiko@example.com
Дрозденко,Варфоломій,Дмитрович,Чоловік,1996-12-13,Державний службовець,село Березне,"узвіз Училищна, буд. 52 кв. 81, Христинівка, 89948",010 204-43-61,akalenychenko@example.net
Микитюк,Леопольд,Павлович,Чоловік,1939-02-23,Клоун,село Боярка,"провулок Сільська, буд. 284, Ромни, 58747",+380 80 673-70-89,viktoriiakhorishko@example.net
Фартушняк,Артем,Васильович,Чоловік,1977-02-15,Бізнесмен,селище Сорокине,"шосе Косий, буд. 209 кв. 96, Новоукраїнка, 40019",+380 81 517 74 43,vhuzii@example.org
Прокопович,Орхип,Андрійович,Чоловік,1954-12-29,Ріелтор,село Новоселиця,"набережна Місячний, буд. 498, Луцьк, 56936",+380 95 996-69-37,batihillia@example.net
Якимчук,Василь,Григорович,Чоловік,1984-10-19,Кухар,село Долина,"шосе Трамвайна, буд. 09 кв. 1, Берестечко, 79013",017 006 18 16,bpiatachenko@example.net
Андрієнко,Леонтій,Богданович,Чоловік,1993-06-18,Підприємець,місто Гайсин,"провулок Мерло, буд. 238, Турка, 10840",+380 48 661 41 54,mzasiadko@example.net
Девдюк,Олекса,Степанович,Чоловік,1995-04-05,Лікар,село Бібрка,"вулиця Кустанайська, буд. 79, Самар, 46076",+380 39 183 48 15,zynoviinehoda@example.org
Ґерета,Гліб,Романович,Чоловік,1952-05-19,Водій,хутір Татарбунари,"проспект Данила Самойловича, буд. 52, Борзна, 50509",845-02-40,myron47@example.net
Доценко,Арсен,Олексійович,Чоловік,1958-12-06,Маркетолог,селище Шпола,"вулиця Дмитра Сигаревича, буд. 620 кв. 91, Львів, 61130",+380 06 198-23-71,svitlanaokhrimenko@example.net
Коваленко,Варфоломій,Володимирович,Чоловік,1983-08-30,Біолог,місто Мелітополь,"проспект Могилівська, буд. 125, Мелітополь, 98313",977 06 23,olhashovkoplias@example.org
Вітрук,Юстим,Степанович,Чоловік,2000-01-22,Кушнір,хутір Макіївка,"площа Ковиловий, буд. 364, Жовті Води, 32646",+380 (79) 205-71-24,dan74@example.net
